Company_Name,Skills they are looking for,Number of positions
"advanced micro devices, inc","[list(['graphics', 'assembly language', 'software development manager', 'debugging', 'rtos concepts', 'high performance computing', 'firmware', 'gaming'])
 list(['graphics', 'c++', 'linux kernel', 'programming', 'high performance computing', 'windows', 'device drivers', 'gaming'])
 list(['graphics', 'c++', 'memory management', 'debugging', 'rtos concepts', 'programming', 'high performance computing', 'windows'])
 list(['graphics', 'c++', 'programming', 'manager technology', 'h264', 'high performance computing', 'windows', 'gaming'])
 list(['graphics', 'c++', 'soc', 'linux kernel', 'debugging', 'perl', 'windows', 'test cases'])
 list(['graphics', 'c++', 'windows os', 'manager technology', 'high performance computing', 'windows', 'device drivers', 'gaming'])
 list(['graphics', 'computer science', 'c++', 'linux', 'debugging', 'system design', 'firmware', 'gaming'])
 list(['graphics', 'computer science', 'c++', 'networking', 'analytical', 'perl', 'software engineer 2', 'jira'])
 list(['graphics', 'computer science', 'linux', 'bios', 'perl', 'windows', 'software quality', 'gaming'])
 list(['graphics', 'dsp', 'assembly language', 'debugging', 'programming', 'high performance computing', 'windows', 'firmware'])
 list(['graphics', 'dsp', 'c++', 'fpga', 'high performance computing', 'windows', 'firmware', 'gaming'])
 list(['graphics', 'high performance computing', 'windows', 'information technology', 'gaming', 'monitoring'])
 list(['graphics', 'prototype', 'manager quality assurance', 'linux', 'linux kernel', 'agile', 'high performance computing', 'windows'])
 list(['graphics', 'qml', 'c++', 'computer architecture', 'device driver development', 'application development', 'high performance computing', 'windows'])
 list(['graphics', 'qml', 'c++', 'software development manager', 'application development', 'high performance computing', 'windows', 'gaming'])
 list(['graphics', 'qml', 'software development engineer 2', 'c++', 'usage', 'device driver development', 'application development', 'high performance computing'])
 list(['graphics', 'signal processing', 'software development life cycle', 'technical leadership', 'high performance computing', 'windows', 'matlab', 'gaming'])
 list(['graphics', 'signal processing', 'software development life cycle', 'technical leadership', 'high performance computing', 'windows', 'software engineer 2', 'matlab'])
 list(['graphics', 'soc', 'linux kernel', 'debugging', 'perl', 'windows', 'software quality', 'vb'])
 list(['graphics', 'system architecture', 'bios', 'networking', 'linux', 'soc', 'ethernet', 'high performance computing'])
 list(['graphics', 'system architecture', 'c++', 'automation', 'linux', 'debugging', 'data structures', 'windows'])
 list(['graphics', 'usb', 'soc', 'system programming', 'agile', 'data structures', 'windows', 'firmware'])
 list(['jenkins', 'software development', 'docker', 'linux', 'c + +', 'continuous integration', 'computer science', 'devops'])
 list(['rtos', 'graphics', 'assembly language', 'usb', 'fpga', 'soc', 'debugging', 'agile'])
 list(['rtos', 'software development', 'assembly language', 'linux', 'device drivers', 'microcontroller', 'usb', 'digital signal processing'])
 list(['software development', 'c + +', 'debugging', 'computer science', 'firmware', 'kernel', 'data center', 'driver development'])
 list(['software development', 'jobs', 'computer hardware', 'electronics', 'science', 'firmware', 'kernel', 'data center'])
 list(['unix', 'vmware', 'automation', 'linux', 'javascript', 'php', 'perl', 'windows'])]",30
"advanced micro devices, inc.","['c++' 'computer science' 'customer satisfaction' 'data analysis'
 'graphics' 'high performance computing' 'linux kernel' 'machine learning'
 'perl' 'product quality' 'software design' 'usage' 'white box testing'
 'windows' 'x86']",2
aeries technology group,"['active directory' 'agile' 'analytical' 'angular'
 'application development' 'automation' 'aws' 'azure' 'backend'
 'business intelligence' 'business process management' 'change management'
 'cloud' 'coding' 'computer science' 'consulting' 'customer service'
 'devops' 'django' 'dns' 'facility management' 'financial reporting' 'git'
 'http' 'incident management' 'informatica' 'information technology'
 'it skills' 'it support' 'java' 'javascript' 'jquery' 'kanban'
 'kubernetes' 'lan' 'linux' 'machine learning' 'marketing' 'middleware'
 'ms architecture' 'network security' 'networking' 'node js'
 'operational support' 'opex' 'oracle' 'order management' 'orm'
 'pega framework' 'pega marketing' 'pega prpc' 'performance tuning'
 'postgresql' 'product management' 'program management' 'python' 'react'
 'redux' 'resource management' 'scrum' 'service delivery' 'sharepoint'
 'soa' 'soap restful services' 'software development' 'ssrs'
 'system design' 'telecom' 'testing' 'tfs' 'troubleshooting' 'ubuntu'
 'unix' 'vmware' 'wan' 'windows' 'wireless' 'xml']",18
aggne global it services private limited,"[list(['build automation', 'business transformation', 'powershell', 'infrastructure management', 'configuration management', 'devops', 'deployment', 'information technology'])
 list(['logical approach', 'coding', 'programming', 'aptitude', 'communication skills'])]",2
agreeya,"['agile' 'algorithms' 'angular' 'arm' 'assembly language' 'aws'
 'c programming' 'cache' 'cloud' 'coding' 'communication'
 'continuous integration' 'css' 'data cleansing' 'data science'
 'debugging' 'deep learning' 'front end' 'gpu architecture' 'graphics'
 'html' 'image processing' 'it skills' 'j2ee' 'java' 'javascript'
 'jenkins' 'jpa' 'layout design' 'linux' 'maven' 'mlir flow'
 'mlir optimizations' 'python' 'rtos' 'software development'
 'software development methodology' 'spring boot' 'sql' 'tableau'
 'testing' 'troubleshooting' 'unit testing' 'vector core'
 'verbal communication' 'written']",8
aizant global analytics,"['agile framework' 'database design' 'software development'
 'software engineering' 'solution design' 'testing tools' 'unit testing'
 'user experience']",1
aizen algo private limited,['asp.net' 'asp.net core' 'asp.net mvc' 'it skills'],1
align technology,"['application development' 'coding' 'computer science'
 'configuration management' 'debugging' 'html' 'javascript' 'jira'
 'jquery' 'jsp' 'machine learning' 'mysql' 'rdbms' 'struts'
 'web development']",3
allegis services india pvt. ltd.,['devops' 'java' 'linux' 'mq' 'oracle db' 'splunk' 'was' 'windows'],1
alliance global services it india pvt. ltd.,"['backend' 'css' 'hibernate' 'html' 'it skills' 'java' 'javascript' 'san'
 'selenium' 'software development' 'testing' 'unix']",2
