Company_Name,Skills they are looking for,Number of positions
dhruvsoft services pvt ltd,"['application programming' 'b.e' 'b.tech fresher' 'communication'
 'entry level' 'it' 'software development' 'software engineering']",1
dialtronics systems pvt. ltd.,"['embedded c' 'embedded software' 'i2c' 'rtos' 'software engineering'
 'uart' 'yocto']",1
diligent global tech consulting private limited.,"['database' 'expressjs' 'nestjs' 'node' 'nodejs' 'sql' 'sql queries'
 'typescript']",1
diverse lynx,['arp' 'hsrp' 'layer2 switching' 'stp' 'tcp' 'udp' 'vlans' 'vrfs'],1
dlt labs,"['angularjs' 'cloud' 'dba' 'it skills' 'node.js' 'san' 'selenium'
 'software development']",1
dst systems,"['agile' 'automation' 'coding' 'data modeling' 'healthcare' 'hibernate'
 'html' 'http' 'investment banking' 'javascript' 'jdbc' 'json'
 'monitoring' 'ms sql' 'rdbms' 'san' 'scrum' 'selenium' 'troubleshooting'
 'xml']",3
dun & bradstreet,"[list(['algorithms', 'c', 'data structures', 'java', 'c++', 'software development', 'software engineering', 'javascript'])
 list(['algorithms', 'data structures', 'aws', 'java', 'c++', 'software development', 'c', 'software engineering'])
 list(['algorithms', 'neo4j graph database', 'data structures', 'div', 'software development', 'neo4j', 'software engineering', 'javascript'])
 list(['automation testing', 'software quality assurance', 'jira', 'java', 'bdd', 'testng', 'selenium', 'qtp'])
 list(['aws ecosystem', 'hadoop', 'big data', 'high availability', 'systems design', 'cloudera', 'impala', 'pig'])
 list(['big data', 'data warehousing', 'python', 'airflow', 'xml', 'snowflake', 'streamsets', 'sql server'])
 list(['callidus cloud', 'sql queries', 'sap embedded analytics', 's/4hana embedded analytics', 'power bi', 'web-intelligence', 'aws cloud technologies', 'bw/4hana'])
 list(['computer science', 'software engineer ii', 'cloud', 'javascript', 'dnb', 'agile methodology', 'unit testing', 'troubleshooting'])
 list(['devops', 'ci/cd implementation', 'aws', 'jenkins', 'unix', 'site reliability engineer', 'java', 'linux networking'])
 list(['hadoop', 'object oriented programming', 'mapreduce', 'java', 'software development', 'scala', 'big data', 'sql queries'])
 list(['hadoop', 'spark', 'aws cloud', 'software development', 'continuous integration', 'application monitoring', 'problem solving', 'emr'])
 list(['hadoop', 'spark', 'databricks', 'nosql', 'devops model', 'etl processing', 'informatica bdm', 'cloudera'])
 list(['html', 'ecma6', 'javascript', 'scala', 'vue', 'react', 'angular', 'docker'])
 list(['it skills', 'java', 'j2ee', 'testing', 'cloud', 'computer science', 'rca', 'git'])
 list(['it skills', 'java', 'product management', 'computer science', 'backend', 'hoovers', 'analytical', 'web development'])
 list(['it skills', 'java', 'python', 'software development', 'testing', 'cloud', 'node.js', 'unix'])
 list(['it skills', 'java', 'python', 'software development', 'testing', 'cloud', 'performance testing', 'computer science'])
 list(['it skills', 'java', 'python', 'software development', 'testing', 'cloud', 'performance testing', 'maven'])
 list(['it skills', 'java', 'python', 'software development', 'testing', 'html', 'css', 'computer science'])
 list(['it skills', 'java', 'python', 'testing', 'quality assurance', 'automation testing', 'big data', 'order management'])
 list(['it skills', 'java', 'software development', 'testing', 'cloud', 'jenkins', 'aws', 'computer science'])
 list(['it skills', 'java', 'testing', 'cloud', 'aws', 'computer science', 'git', 'xml'])
 list(['it skills', 'java', 'testing', 'cloud', 'javascript', 'cloud computing', 'rca', 'root cause analysis'])
 list(['it skills', 'python', 'cloud', 'aws', 'supply chain', 'cloud computing', 'root cause analysis', 'gcp'])
 list(['it skills', 'testing', 'cloud', 'aws', 'computer science', 'object oriented design', 'performance tuning', 'data processing'])
 list(['it skills', 'testing', 'project management', '.net', 'bpo', 'project management', 'computer science', 'object oriented design'])
 list(['it skills', 'testing', 'quality assurance', 'big data', 'aws', 'computer science', 'tomcat', 'linux'])
 list(['java', 'c++', 'c', 'software development', 'algorithms', 'software engineering', 'data structures', 'javascript'])
 list(['java', 'j2ee', 'sql', 'rest', 'git', 'junit', 'software engineering', 'web technologies'])
 list(['java', 'javascript', 'soap web services', 'angularjs', 'css', 'web technologies', 'html', 'npm'])
 list(['java', 'mvc design pattern', 'jdbc', 'jvm', 'hibernate', 'software development', 'rest', 'struts'])
 list(['java', 'php', 'spring boot', 'symfony framework', 'front end', 'design patterns', 'xml', 'javascript'])
 list(['java', 'spring', 'aws', 'it skills', 'j2ee', 'testing', 'cloud', 'project management'])
 list(['java', 'spring framework', 'j2ee', 'rest', 'git', 'software engineering', 'web technologies', 'programming'])
 list(['java', 'spring framework', 'j2ee', 'rest api', 'high availability', 'git', 'software engineering', 'agile'])
 list(['java', 'web service development', 'legacy api applications', 'jenkins', 'maven', 'software development', 'git', 'junit'])
 list(['java', 'xml', 'json', 'xpath', 'rest', 'git', 'software engineering', 'web technologies'])
 list(['java 1.8', 'python 3.0', 'aws', 'java', 'cloudera', 'hadoop', 'impala', 'aws glue'])
 list(['java 8', 'microservices', 'spring framework', 'restful api', 'maven', 'scala', 'jenkins', 'software development'])
 list(['javascript', 'react', 'vuejs', 'it skills', 'java', 'c#', 'css', 'web technologies'])
 list(['jira', 'jenkins', 'sonar', 'rds', 's3', 'data pipeline', 'emr', 'redshift'])
 list(['jmeter', 'qtp', 'selenium', 'uft', 'software quality assurance', 'software testing', 'test planning', 'test case execution'])
 list(['maven', 'cloud computing', 'coding', 'eclipse', 'debugging', 'performance testing', 'json', 'scrum'])
 list(['nosql', 'rdbms', 'aws', 'data quality', 'database management system', 'software engineering', 'data structures', 'data profiling'])
 list(['python 3.0', 'fullstack development', 'java 1.8', 'java', 'react js library'])
 list(['rpa', 'it skills', 'java', 'python', 'testing', 'quality assurance', 'cloud', 'coding'])
 list(['sap data services', 'etl', 'talend', 'typing', 'software engineering', 'mysql', 'sybase iq', 'sql server'])
 list(['spark', 'scala', 'aws', 'it skills', 'java', 'software development', 'testing', 'cloud'])
 list(['spring framework', 'java applications', 'python programming', 'python', 'angular', 'written communication', 'sdlc', 'logstash'])
 list(['sql queries', 'etl', 'data warehousing', 'power bi', 'aws redshift', 'sap ds', 'snowflake', 'sybase iq'])
 list(['streamsets', 'elt', 'etl', 'airflow', 'hadoop', 'big data', 'sql server', 'data science'])
 list(['system testing', 'automation', 'coding', 'javascript', 'programming', 'data structures', 'application software', 'enterprise software'])
 list(['system testing', 'automation', 'jquery', 'coding', 'schema', 'javascript', 'agile', 'data structures'])
 list(['test management software', 'selenium', 'jira', 'java', 'soap ui', 'software quality assurance', 'api testing', 'test planning'])
 list(['unix', 'computer science', 'administration', 'operational excellence', 'networking', 'linux', 'production support', 'configuration management'])
 list(['unix', 'computer science', 'plsql', 'agile methodology', 'informatica', 'unit testing', 'troubleshooting', 'open source'])
 list(['web service development', 'api applications', 'object-oriented design', 'intellij', 'java', 'maven', 'software development', 'junit'])
 list(['web service development', 'json', 'rest', 'java', 'maven', 'jenkins', 'software development', 'git'])]",60
dxc technology,"['.net' 'actuarial' 'analytical' 'angular' 'ansible' 'apache'
 'architecture' 'associate professional' 'aws' 'azure'
 'business administration' 'business analysis' 'business analyst'
 'cassandra databases' 'cloud' 'communication' 'compliance'
 'computer hardware' 'computer science' 'core java' 'data structures'
 'devops' 'docker' 'elastic search' 'express' 'hardware' 'hibernate'
 'http' 'information technology' 'interpersonal skills' 'it skills' 'j2ee'
 'java' 'jenkins' 'junit' 'kubernetes' 'lin' 'linux' 'linux os'
 'management' 'microservices' 'multi - threading' 'node.js' 'oops'
 'openshift' 'operating systems' 'oracle' 'python' 'red hat enterprise'
 'regulatory compliance' 'rest api' 'restful web services' 'rhel' 'rpa'
 'rpa resource' 'shell' 'simulation' 'software design'
 'software development' 'subcompa' 'team leading' 'technical architecture'
 'testing' 'tomcat' 'uipath' 'unix' 'web services' 'written' 'yaml']",14
e-ring it solutions private limited,"['.net' 'ajax' 'asp net' 'asp.net' 'c# net' 'java script' 'javascript'
 'microsoft sql server' 'objective c' 'sql server' 'vb net'
 'visual studio']",2
"e2open, llc","['application support' 'business process' 'cloud' 'computer science'
 'configuration management' 'consulting' 'html' 'it skills' 'java' 'jboss'
 'jdbc' 'linux' 'oracle' 'production support' 'quality assurance'
 'software development' 'supply chain' 'testing' 'tomcat' 'unix' 'xml']",7
ea games (electronic arts),"[list(['aws device farm', 'appium', 'automation scripting', 'altunity', 'python', 'testrail', 'javascript', 'it skills'])
 list(['backend', 'automation', 'technical writing', 'software engineer ii', 'debugging', 'mobile phones', 'javascript', 'agile'])
 list(['c++', 'ui', 'unity', 'ui engineer', 'unreal engine tools', 'game designers', 'ui performance', 'ui artists'])
 list(['c++', 'xml', 'debugging', 'agile', 'data structures', 'html', 'json', 'scrum'])
 list(['computer science', 'automation testing', 'version control', 'customer satisfaction', 'software engineer ii', 'mobile phones', 'html', 'unit testing'])
 list(['computer science', 'object oriented design', 'mining', 'c++', 'data analysis', 'social media', 'test design', 'html'])
 list(['graphics', 'c++', 'debugging', 'opengl', 'data structures', 'html', 'application development', 'scrum'])
 list(['graphics', 'debugging', 'opengl', 'mobile phones', 'data structures', 'html', 'application development', 'scrum'])
 list(['hibernate', 'soa', 'mysql', 'jdbc', 'html', 'oracle', 'ejb', 'information technology'])
 list(['hwrp', 'urp', 'glsl', 'communication', 'directx', 'hlsl', 'design patterns', 'structures'])
 list(['ios', '3d graphics', 'android sdk', 'opengl', 'written', 'verbal communication', 'directx', 'native application development'])
 list(['it skills', 'java', 'j2ee', 'python', 'quality assurance', 'cloud', 'devops', 'linux'])
 list(['it skills', 'java', 'j2ee', 'python', 'software development', 'testing', 'selenium', 'automation'])
 list(['it skills', 'java', 'j2ee', 'quality assurance', 'cloud', 'performance testing', 'html', 'coding'])
 list(['it skills', 'java', 'j2ee', 'software development', 'testing', 'cloud', 'product management', 'algorithms'])
 list(['it skills', 'java', 'j2ee', 'testing', 'cloud', 'performance testing', 'aws', 'computer science'])
 list(['it skills', 'java', 'php', 'testing', 'cloud', 'performance testing', 'aws', 'software design'])
 list(['it skills', 'java', 'python', 'software development', 'devops', 'node.js', 'javascript', 'soa'])
 list(['it skills', 'java', 'python', 'software development', 'testing', 'cloud', 'product management', 'computer science'])
 list(['it skills', 'java', 'python', 'software development', 'testing', 'cloud', 'product management', 'linux'])
 list(['it skills', 'java', 'python', 'software development', 'testing', 'cloud', 'product management', 'software design'])
 list(['it skills', 'java', 'python', 'software development', 'testing', 'cloud', 'product management', 'system design'])
 list(['it skills', 'java', 'python', 'software development', 'testing', 'product management', 'aws', 'algorithms'])
 list(['it skills', 'java', 'python', 'testing', 'selenium', 'javascript', 'qa tools', 'open source'])
 list(['it skills', 'java', 'software development', 'test engineering', 'software engineering', 'c + +', 'computer science', 'selenium'])
 list(['it skills', 'php', 'testing', 'cloud', 'performance testing', 'aws', 'software design', 'service level'])
 list(['it skills', 'quality assurance', 'devops', 'graphics', 'c++', 'debugging', 'opengl', 'data structures'])
 list(['it skills', 'testing', 'graphics', 'debugging', 'opengl', 'data structures', 'html', 'application development'])
 list(['java', 'software development', 'mobile applications', 'c + +', 'javascript', 'html', 'software engineer'])
 list(['mobile applications', 'c #', 'xml', 'mobile phones', 'json', 'ios', 'game development', 'mobile application development'])
 list(['opengl', 'directx', 'debugging', 'oop', 'written', 'verbal communication', 'android sdk', 'unreal'])
 list(['selenium', 'java', 'javascript', 'appium', 'performance test', 'automation test', 'python', 'locust'])
 list(['software design', 'linux', 'coding', 'debugging', 'data structures', 'html', 'perl', 'open source'])
 list(['software design', 'team management', 'publishing', 'coding', 'mysql', 'engineering manager', 'html', 'scrum'])
 list(['sql data view optimization', 'python', 'grafana', 'object - oriented programming', 'data analytics', 'computer science', 'c++', 'automation'])]",38
ebix,"['communication' 'design patterns' 'it skills' 'j2ee' 'java' 'jms'
 'object oriented design methodologies' 'oracle' 'performance tuning'
 'sql server' 'struts' 'xml']",2
ebiznet solutions,"['configuration' 'development' 'it services' 'mca' 'oracle' 'oracle 8i'
 'software' 'unix']",1
eclatansys information private limited,"['angular' 'angular material' 'css' 'html' 'ionic angular' 'it skills'
 'java' 'javascript']",1
ecommerce consultants private limited,"['functional programming' 'jest' 'typescript' 'vue cli' 'vue js ecosystem'
 'vue.js' 'vuex' 'webpack']",1
elico healthcare services,"['bpo' 'network admin' 'network administrator' 'network engineer'
 'system admin' 'troubleshooting']",1
elico limited,['java'],1
embedtech solutions,"['ble' 'c' 'embedded webservers' 'lora' 'ota' 'rest - api' 'tcp / ip'
 'wi - fi']",1
energytech global,"['administration' 'agile development' 'automation' 'computer hardware'
 'computer science' 'database administrator' 'health insurance'
 'information technology' 'it skills' 'level' 'linux' 'mca' 'networking'
 'odoo framework' 'openerp' 'operating systems' 'pl / sql scripting'
 'postgres' 'postgresql' 'python' 'rdbms' 'scrum' 'server'
 'software development' 'staffing' 'troubleshooting' 'ubuntu' 'vpn'
 'windows' 'written']",5
enest technologies pvt ltd,"['agile methodology' 'devops' 'iot' 'ms sql' 'mvc' 'mysql' 'singleton'
 'swift']",1
enfluence it services pvt. ltd.,"['c#' 'c++' 'coding' 'com' 'data structures' 'design principles' 'mfc'
 'tcp']",1
epam systems,"[list(['linux', 'android', 'communication', 'mfc framework', 'visual studio', 'android ndk', 'kernel development', 'linux os'])
 list(['ssis', 'etl', 'sql server', 'it skills', 'power bi', 'azure'])]",2
"epiq systems, inc.","['analytical' 'change management' 'coding' 'continuous improvement'
 'directory services' 'dns' 'entity framework' 'information technology'
 'javascript' 'jquery' 'linux' 'load balancing' 'ms sql' 'networking'
 'schema' 'troubleshooting' 'windows']",4
epiqsystems india private limited,"[list(['aws', 'test engineering', 'automation tools', 'automation', 'selenium', 'manual'])
 list(['c#', 'angular', 'web services', 'entity framework', 'web api', 'javascript', 'jquery'])
 list(['technical design', 'product marketing', 'data extraction', 'software development', 'life cycle', 'strong communication skills', 'software engineering', 'artificial intelligence'])]",3
episteme soft pvt ltd,"['asic' 'c' 'dded s' 'debugging' 'development' 'level' 'ppc' 'python'
 'semiconductor' 'software' 'system architecture' 'tcp' 'technical'
 'testing' 'usb' 'vxworks' 'wan']",4
eshocan technologies private limited,"['.net' '.net core' 'azure functions' 'css' 'html' 'it skills' 'testing'
 'web api']",1
esn technologies india private limited,"['.net' 'analytical' 'application architecture' 'asp net' 'automation'
 'azure' 'cloud' 'cloud computing' 'communication' 'css' 'devops'
 'front end' 'healthcare' 'html' 'information technology' 'it skills'
 'javascript' 'mvc' 'pdf' 'react' 'react library' 'react native'
 'react react' 'restful api' 'software development' 'typescript']",4
excelsoft technologies pvt. ltd.,"['ajax' 'angular' 'asp.net mvc' 'c#' 'entity framework' 'javascript'
 'jquery' 'sql server']",1
eze software group,"['agile' 'algorithms' 'angularjs' 'automation' 'aws' 'azure' 'bdd'
 'ci / cd' 'cloud' 'computer science' 'data modeling' 'dynatrace'
 'healthcare' 'hibernate' 'it skills' 'java' 'javascript' 'kafka'
 'monitoring' 'mysql' 'nodejs' 'nosql' 'production manager' 'protractor'
 'python' 'rabbitmq' 'rdbms' 'rest api' 'scrum' 'selenium'
 'software design' 'software development' 'ssrs' 'tdd' 'testing'
 'typescript' 'ui' 'wcf' 'wpf']",7
f5 networks innovation private limited,"[list(['c++', 'security']) list(['embedded c++', 'c++', 'c', 'security'])
 list(['golang', 'nosql', 'sql'])
 list(['golang', 'reactjs', 'perl', 'angularjs', 'linux', 'python'])
 list(['release management', 'product life cycle management', 'plm', 'project management', 'sdim', 'product configuration'])
 list(['unix', 'perforce', 'software testing', 'python', 'java', 'git', 'gitlab'])]",6
"f5 networks, inc","['agile' 'agile methodology' 'analytical' 'apache'
 'application development' 'architecture' 'automation' 'backend' 'c++'
 'ccna' 'change management' 'coding' 'computer science'
 'configuration management' 'customer service' 'customer support'
 'data structures' 'db2' 'debugging' 'design development'
 'development manager' 'distribution system' 'dns'
 'electrical engineering' 'financial services' 'fpga' 'front end' 'gcp'
 'git' 'hibernate' 'hospitality' 'html' 'http' 'infrastructure' 'ixia'
 'javascript' 'jboss' 'jira' 'jquery' 'json' 'jsp' 'l3 protocols' 'ldap'
 'linux' 'load balancing' 'metadata' 'mongodb' 'monitoring'
 'multithreading' 'mysql' 'nat' 'network security' 'networking'
 'networking protocols' 'open source' 'openstack' 'oracle'
 'performance tuning' 'perl' 'php' 'postgresql' 'product management'
 'product quality' 'production support' 'project management' 'rdbms'
 'risk management' 'scheduling' 'scm' 'scrum' 'selenium' 'seo'
 'social media' 'software design' 'splunk' 'sql' 'ssh' 'ssl'
 'subject matter expertise' 'system software' 'tcp' 'technical design'
 'technical writing' 'test strategy' 'testing tools' 'training'
 'troubleshooting' 'ui development' 'unix' 'vmware' 'web designing'
 'web development' 'web services' 'weblogic' 'windows' 'wireless'
 'workflow' 'xml']",39
factset systems india pvt ltd,"['.net' 'active directory' 'agile' 'agile methodology' 'ajax' 'analytical'
 'angular' 'angular js' 'angularjs' 'angularjs cloud' 'ansible'
 'application development' 'arangodb' 'asp.net' 'atl' 'automation' 'aws'
 'aws cloud' 'aws glue' 'aws redshift' 'azure' 'backend' 'bash'
 'bash scripting' 'basic' 'beats' 'big data' 'business process management'
 'c++' 'career development' 'ci / cd' 'circle - ci' 'cisco routers'
 'client support' 'cloud' 'cloud services' 'cloud technologies' 'coding'
 'communication' 'computer science' 'confluence' 'contentful'
 'continuous integration' 'core java' 'core java apis' 'corporate actions'
 'css' 'data analysis' 'data management' 'data mining' 'data science'
 'data structures' 'database' 'debugging' 'design patterns'
 'digital transformation' 'dns' 'docker' 'ec2' 'elastic search'
 'elasticsearch' 'etl' 'finance' 'financial reporting' 'fixed income'
 'flask' 'front end' 'front office' 'gcp' 'git' 'groovy' 'gulp' 'heroku'
 'html' 'http' 'iis' 'interpersonal skills' 'investment banking'
 'it skills' 'j2ee' 'java' 'javascript' 'jenkins' 'jira' 'jms' 'jquery'
 'js' 'jupyter' 'kanban' 'kibana' 'kubernetes' 'ldap' 'lead software'
 'linux' 'management' 'manager quality assurance' 'maria db' 'matlab'
 'matrix' 'mentor' 'mfc' 'middleware' 'ms sql' 'mssql' 'multi threading'
 'multithreading' 'mvc' 'mvc frameworks' 'mvc pattern' 'mysql'
 'network engineering' 'networking' 'node js' 'node.js' 'nodejs' 'nosql'
 'nunit' 'object - oriented design' 'object - oriented programming'
 'object oriented design' 'object oriented programming' 'oop' 'operations'
 'oracle' 'oriented architectures' 'performance tuning' 'perl' 'php' 'pmp'
 'postgres' 'postgresql' 'powershell' 'presentation' 'product engineering'
 'project planning' 'python' 'quality assurance' 'rdbms' 'react'
 'react js' 'relational databases' 'release management' 'rest apis'
 'restful' 'restful architecture' 'restful services' 'ruby' 'salesforce'
 'sass' 'scrum' 'service' 'service - oriented architectures' 'sharepoint'
 'shell scripting' 'snmp' 'soa' 'software design' 'software development'
 'software engineer iii' 'software quality' 'solid' 'spark' 'sql'
 'sql programming' 'sql queries' 'sql server' 'stl' 'stored procedures'
 'swing' 'system programming' 'technical design' 'technical support'
 'terraform' 'test - driven development' 'test driven development'
 'testing' 'troubleshooting' 'typescript' 'ui' 'unix'
 'verbal communication' 'vue' 'vue js' 'wcf' 'wealth management' 'web api'
 'web designing' 'web development' 'web services' 'web technologies'
 'windows' 'windows os' 'winforms' 'written' 'written communication' 'xml'
 'xsl']",69
"fanatics, inc.","['analytical' 'coding' 'computer science' 'gaming' 'http' 'nosql'
 'open source' 'supply chain']",1
ferns n petals pvt. ltd,"[list(['java', 'api testing', 'automation testing', 'appium', 'selenium'])
 list(['java', 'hibernate', 'spring boot', 'spring', 'aws', 'microservices', 'sql'])
 list(['java', 'solr', 'mongo', 'mysql', 'javascript', 'redis', 'arango', 'groovy'])
 list(['regression testing', 'black box testing', 'manual testing', 'functional testing'])]",4
fiddich,"['building' 'computer science' 'data structures' 'electrical engineering'
 'large' 'linux' 'object oriented design' 'open source' 'oracle'
 'performance tuning' 'programming' 'unix' 'web services'
 'written communication']",2
finisar,['ado.net' 'asp.net' 'c#' 'html' 'javascript' 'json' 'oops' 'sql server'],1
fintech infosystems private limited,"['algorithms' 'c++' 'computer science' 'data structures' 'java' 'oops'
 'web development' 'web technologies']",1
first american (india) pvt ltd,"['agile' 'apache' 'application development' 'automation'
 'computer science' 'debugging' 'information technology' 'linux' 'mysql'
 'performance tuning' 'sdlc' 'selenium' 'test cases' 'tomcat'
 'troubleshooting']",2
firstsource solutions ltd,['aws' 'java' 'spring boot' 'sql'],1
flashhouse,"['automation' 'backend' 'front end' 'javascript' 'machine learning'
 'mysql' 'test scripts' 'workflow']",1
fluentgrid limited,['core java' 'hibernate' 'j2ee' 'restful webservices' 'spring'],1
fox solutions,"['.net developement' 'c' 'java' 'manual testing' 'python' 'sdlc'
 'sdlc stlc' 'stlc']",1
franklin templeton,"['administration' 'agile' 'analytical' 'analytics'
 'application development' 'asset management' 'bloomberg'
 'change management' 'coding' 'computer science' 'data analysis'
 'data processing' 'data validation' 'disaster recovery' 'ejb' 'erp'
 'financial services' 'front office' 'healthcare' 'hibernate' 'html'
 'information security' 'information technology' 'investment'
 'investment management' 'javascript' 'jdbc' 'jira' 'json' 'linux'
 'management audit' 'medical insurance' 'mysql' 'network infrastructure'
 'oracle' 'order management' 'peoplesoft' 'perl' 'php' 'plsql'
 'production support' 'release management' 'rfp' 'risk management' 'sap'
 'splunk' 'struts' 'technical support' 'technical writing' 'test cases'
 'troubleshooting' 'user acceptance testing' 'windows' 'workflow' 'xml']",12
freelancer,['abap' 'asp net' 'asp.net' 'crm' 'it skills' 'java' 'sap' 'ui5'],1
freshdesk,"['ansible' 'automation' 'aws' 'aws cloud' 'cloud' 'css' 'it skills'
 'javascript' 'jest' 'linux' 'mysql' 'react.js' 'testing' 'typescript'
 'ui frameworks']",2
fs technosol llp,"['c#' 'communication' 'database management' 'dot net' 't-sql'
 'time management']",1
g-cube solutions,"['.net core' 'c#' 'html5' 'javascript' 'jquery' 'mvc4 0'
 'object - oriented programming' 'web api']",1
g4g services private limited,"['database design' 'javascript' 'nodejs' 'python' 'quantum gis'
 'spring boot' 'spring framework' 'sql query']",1
gaian consultants,"['it skills' 'java' 'java script' 'problem solving' 'protractor' 'rest'
 'selenium' 'software development']",1
gaian group,"[list(['automation', 'automation testing', 'javascript', 'programming', 'selenium', 'pom', 'testing'])
 list(['automation framework', 'software testing', 'backend', 'web technologies', 'testing'])]",2
gainsight,"['administration' 'cloud' 'devops' 'html' 'it skills' 'java' 'python'
 'software development']",1
gd research center pvt ltd,"['bca' 'code' 'development' 'object oriented design' 'server' 'software'
 't-sql' 'technical']",1
ge appliances,"['appliances' 'architect' 'artificial intelligence' 'automation'
 'business intelligence' 'business operations' 'cloud' 'computer science'
 'computer vision' 'costing' 'data analysis' 'data analyst'
 'data governance' 'data warehousing' 'deep learning' 'erp' 'informatica'
 'information technology' 'infrastructure' 'machine learning' 'mysql'
 'oracle' 'oracle business intelligence' 'process design'
 'project management' 'prototype' 'root cause analysis' 'shell scripting'
 'soa' 'supply chain' 'technical architecture' 'troubleshooting' 'unix']",6
genesys india,"['angularjs' 'aws' 'azure' 'cloud' 'computer science' 'it skills' 'java'
 'javascript' 'machine learning' 'python' 'ubuntu']",2
genpact,"[list(['itil', 'it skills', 'python', 'cloud', 'aws', 'azure', 's3', 'rds'])
 list(['network operations', 'ccna', 'wan', 'lan', 'infra', 'networking'])
 list(['software asset management', 'flexera', 'operations management', 'software procurement', 'administration management', 'license management'])]",3
gep,"['agile' 'continuous integration' 'jquery' 'monitoring'
 'performance tuning' 'procurement' 'troubleshooting' 'wcf']",1
getyourjob,"['agile' 'c++' 'cloud computing' 'coding' 'computer science'
 'customer experience' 'data mining' 'front end' 'manager technology'
 'mentor' 'object oriented design' 'operations' 'soa'
 'software development engineer ii' 'software development life cycle'
 'web services']",2
gighub,"['build automation' 'css' 'html' 'it skills' 'javascript' 'python'
 'web scraping' 'web technologies']",1
gocoop solutions and services private limited,['cloud computing' 'computer science' 'internet applications' 'php'],1
golkonda hotels and resorts limited,"['computer science' 'hardware networking' 'information technology'
 'networking' 'system administration']",1
google,"['administration' 'algorithms' 'android' 'angular' 'api design'
 'application management' 'artificial intelligence' 'automation' 'c / c++'
 'c++' 'cloud security' 'coding' 'computer science'
 'customer satisfaction' 'data analytics' 'data risk management'
 'development' 'go' 'information retrieval' 'information technology'
 'it skills' 'java' 'javascript' 'linux' 'machine learning'
 'mobile applications' 'natural language processing' 'networking' 'php'
 'python' 'risk management' 'software development' 'sql' 'system design'
 'testing' 'unix' 'workflow']",6
grepthor software solutions private limited,['aws' 'devops' 'it skills' 'java' 'software development'],1
groundtruth,"['angular' 'architecture' 'design patterns' 'graphql' 'node.js' 'python'
 'redux' 'system design']",1
gspann,"['architecting' 'java' 'kotlin' 'mongodb' 'programming'
 'software development' 'software engineering' 'unit testing']",1
harsco,"['communication protocols' 'configuration management' 'j1939' 'machinery'
 'management' 'test cases' 'visual studio' 'wince']",1
harsco global service centre,"['communication protocols' 'configuration management' 'j1939' 'machinery'
 'management' 'test cases' 'visual studio' 'wince']",1
hcl,"[list(['c++', 'css', 'word', 'excel', 'hiring', 'excel powerpoint', 'javascript', 'hr'])
 list(['it skills', 'java', 'python', 'cloud', 'c++', 'automation systems', 'networking', 'programming'])
 list(['javascript', 'it skills', 'software engineering'])
 list(['oracle', 'it skills', 'software engineering'])
 list(['owasp', 'appscan', 'ajax', 'appscan penetration testing', 'dast', 'risk assessments', 'javascript', 'application security audits'])
 list(['python', 'communication', 'analytical', 'artificial intelligence', 'java', 'c++', 'agile', 'it skills'])]",6
hcl technologies,"['agile' 'angular' 'asp net' 'c#' 'code coverage' 'communication'
 'mvc net core sql' 'software development']",1
heritage foods,"['data management' 'information technology' 'network security'
 'networking' 'support services']",1
hexagon capability center india pvt.ltd.,"['.net' 'agile' 'agile scrum' 'analytical' 'analytical skills' 'android'
 'angular' 'api testing' 'asp net' 'automation' 'automation testing'
 'azdo' 'azure' 'azure ci' 'backend' 'c' 'c / c#' 'c application' 'c#'
 'coding' 'communication' 'computer hardware' 'computer science' 'css'
 'data structures' 'front end' 'geometry' 'git' 'information technology'
 'interpersonal skills' 'ios' 'it skills' 'java script' 'javascript'
 'jenkins' 'lan' 'linux' 'load testing' 'materials management'
 'microservices architecture' 'network security' 'networking' 'nodejs'
 'object oriented design' 'oops' 'oracle' 'oracle apex' 'oracle forms'
 'oracle sql' 'performance tuning' 'pl / sql' 'postman' 'ppm' 'primavera'
 'procurement' 'react' 'reactjs' 'reactnative' 'rest' 'rest api' 'revit'
 'saas' 'scrum' 'scrum methodology' 'sdlc' 'selenium' 'smart 3d'
 'software development' 'sql' 'sql database' 'sql queries'
 'supply chain management' 'typescript' 'ui' 'ui development' 'vb.net'
 'verbal' 'version control' 'view' 'voip' 'wan' 'web ui'
 'web ui development' 'windows' 'workflow' 'wpf' 'written communication']",18
highradius,"['aws' 'aws infra' 'aws services' 'c#' 'css' 'elastic search'
 'elasticsearch' 'extjs' 'hibernate' 'it skills' 'java' 'javascript'
 'jenkins' 'management' 'material ui' 'maven' 'mysql' 'people management'
 'react js' 'reactjs' 'redux' 'restful' 'snowflake' 'software engineering'
 'spring' 'spring boot' 'struts']",8
hiring joint,"['cyber security' 'firmware' 'linux' 'malware analysis' 'microsoft'
 'networking protocols' 'reverse engineering' 'windows']",1
hitachi ltd.,"['agile scrum' 'artificial intelligence' 'automation'
 'business intelligence' 'computer science' 'consulting'
 'database administrator' 'emc' 'incident management'
 'information technology' 'javascript' 'jira' 'json' 'linux'
 'machine learning' 'market analysis' 'mvc' 'mysql' 'product management'
 'project management' 'san' 'software product development'
 'subject matter expertise' 'ticketing' 'troubleshooting' 'unix' 'vmware'
 'windows' 'xml']",4
hotstar,"['analytics' 'android studio' 'computer science' 'core java'
 'distribution network' 'h264' 'infrastructure' 'mvvm' 'product quality'
 'python' 'sdk' 'sdlc' 'software development engineer ii' 'spark' 'sql']",3
